"species","strata","yrs","ymeans","yn","ysd","yse"
21740,"Central Aleutians",1986,0.0218809520056037,670,0.113162791663481,0.0043718600531111
21740,"Central Aleutians",1991,0.0184138677575868,143,0.0837233839916377,0.00700130109137626
21740,"Central Aleutians",1994,0.021433470568341,226,0.104692013056493,0.00696400911825993
21740,"Central Aleutians",1997,0.00665896851659497,236,0.109629009629434,0.00713624068778113
21740,"Central Aleutians",2000,-0.035081066641401,252,0.0978631283552262,0.00616479762263624
21740,"Central Aleutians",2002,-0.0491780339566533,305,0.104895744856148,0.0060063128781243
21740,"Central Aleutians",2004,0.000460194740202626,159,0.129819486162219,0.0102953549358062
21740,"Central Aleutians",2006,-0.00972959144126082,284,0.125934477778511,0.00747283641808793
21740,"Central Aleutians",2010,0.0400214418071487,140,0.116224666238659,0.00982277711760044
21740,"Central Aleutians",2012,-0.0220766041843112,130,0.123485984354999,0.0108304372850574
21740,"Central Aleutians",2014,0.00137847643446177,111,0.124810590334923,0.0118464969770982
21740,"Central Aleutians",2016,-0.0430483717836833,155,0.116660787699533,0.00937041996052559
21740,"Central Aleutians",2018,0.0515891583339527,275,0.108844760823767,0.00656358603724383
21740,"Eastern Aleutians",1986,0.00821224527475123,782,0.114179391688453,0.00408304671083942
21740,"Eastern Aleutians",1991,0.0342723632628879,349,0.107779019220225,0.00576927862783538
21740,"Eastern Aleutians",1994,-0.00509848192628973,237,0.101478264187719,0.00659172160225661
21740,"Eastern Aleutians",1997,-0.0191659628688211,235,0.103124968825407,0.00672713121975739
21740,"Eastern Aleutians",2000,-0.0258967807279321,193,0.111114578572013,0.00799820237939386
21740,"Eastern Aleutians",2002,0.0183306948123785,303,0.114729255457551,0.00659102351308049
21740,"Eastern Aleutians",2004,0.00949549426662584,50,0.102804995701277,0.0145388219200453
21740,"Eastern Aleutians",2006,0.0308068606900611,82,0.143990608257804,0.0159011026103547
21740,"Eastern Aleutians",2010,0.0460603607453888,140,0.136496340559183,0.0115360462978466
21740,"Eastern Aleutians",2012,-0.00371337043160498,92,0.128450712193786,0.0133919124941506
21740,"Eastern Aleutians",2014,-0.060426336133937,180,0.135157379727916,0.0100740362910791
21740,"Eastern Aleutians",2016,-0.0524410063396573,233,0.133497196726809,0.00874569214224076
21740,"Eastern Aleutians",2018,-0.0181810863126119,188,0.119502344783546,0.00871560425291517
21740,"Southern Bering Sea",1986,0.0327566504144673,215,0.107493678586969,0.00733100803251712
21740,"Southern Bering Sea",1991,0.113510937427788,8,0.136490423963745,0.0482566521758955
21740,"Southern Bering Sea",1994,-0.0478404703529993,87,0.122007159304059,0.0130805404829834
21740,"Southern Bering Sea",1997,0.0162475629809162,148,0.104727260914057,0.00860852781876743
21740,"Southern Bering Sea",2000,0.00978629184979496,94,0.119485508471069,0.0123239892057095
21740,"Southern Bering Sea",2002,-0.0335504286023743,281,0.10717929283994,0.00639378056722976
21740,"Southern Bering Sea",2004,0.0227661768554761,200,0.115140575836701,0.00814166819638553
21740,"Southern Bering Sea",2006,-0.0347997790381422,59,0.101931271827107,0.0132703212740615
21740,"Southern Bering Sea",2010,0.00732489034824297,170,0.114945593321647,0.00881592456999911
21740,"Southern Bering Sea",2012,-0.032801298384136,94,0.112284352494202,0.0115812466784932
21740,"Southern Bering Sea",2014,-0.038486877166561,137,0.0901999072347677,0.00770629814713652
21740,"Southern Bering Sea",2016,-0.109000030963254,94,0.11221788264202,0.0115743908367155
21740,"Southern Bering Sea",2018,-0.0475054967752699,106,0.117174294926722,0.0113809736094005
21740,"Western Aleutians",1986,0.0158261019464202,630,0.103329277216226,0.00411673694368926
21740,"Western Aleutians",1994,0.0480634083894371,278,0.121252929775143,0.00727226746107295
21740,"Western Aleutians",1997,-0.0165845442099927,228,0.10359472744969,0.00686072842642246
21740,"Western Aleutians",2000,-0.0663259234508692,169,0.100856575979832,0.00775819815229479
21740,"Western Aleutians",2002,-0.0189683858759699,286,0.112544327363137,0.00665488558680763
21740,"Western Aleutians",2004,0.00609231383072901,131,0.105018089528352,0.00917547308437132
21740,"Western Aleutians",2006,-0.0423516156269714,114,0.101247087294292,0.00948265854238075
21740,"Western Aleutians",2010,0.0427389720567044,121,0.0957286500954005,0.00870260455412732
21740,"Western Aleutians",2012,0.046290782781612,141,0.109173802378505,0.00919409274031945
21740,"Western Aleutians",2014,-0.0160536655459477,194,0.0822358651893988,0.00590419103437173
21740,"Western Aleutians",2016,0.0208873475130737,226,0.126581623943488,0.00842008437521325
21740,"Western Aleutians",2018,0.0228884028944019,289,0.114376732988726,0.00672804311698391
21741,"Central Aleutians",1994,0.0749819971374912,25,0.114678150484216,0.0229356300968433
21741,"Central Aleutians",1997,0.0104494240146682,41,0.0786059772004012,0.0122761911663167
21741,"Central Aleutians",2000,-0.0396077078387596,4,0.0924301546303041,0.0462150773151521
21741,"Central Aleutians",2002,0.00307611073535125,51,0.109224290261173,0.0152944598344815
21741,"Central Aleutians",2006,0.0175134645457772,8,0.0917513123543444,0.032438987574261
21741,"Central Aleutians",2012,-0.0216422580397045,10,0.0572354502566341,0.0180994385716232
21741,"Central Aleutians",2014,0.0172451828972166,19,0.0943897555739394,0.0216544950448583
21741,"Central Aleutians",2016,0.0312162402023245,5,0.100472521430801,0.0449326775580151
21741,"Eastern Aleutians",1994,-0.0149758300901576,57,0.0930451577638978,0.0123241322126504
21741,"Eastern Aleutians",1997,-0.00628432130467513,31,0.103948868130799,0.0186697678559736
21741,"Eastern Aleutians",2000,-0.0259949175970136,46,0.0991108622751599,0.0146130994100482
21741,"Eastern Aleutians",2002,-0.059320465037096,24,0.159553734699647,0.0325687697141278
21741,"Eastern Aleutians",2004,-0.0189867830999027,40,0.0864426169817165,0.0136677778283887
21741,"Eastern Aleutians",2006,0.0132451954644826,9,0.0959197507454689,0.0319732502484896
21741,"Eastern Aleutians",2012,-0.0383035532233708,28,0.114793280544369,0.0216938908929764
21741,"Eastern Aleutians",2014,-0.0652747367960098,20,0.0912486710273171,0.0204038231273597
21741,"Eastern Aleutians",2016,0.00135697109656921,15,0.125097202952554,0.0322999589128247
21741,"Eastern Aleutians",2018,-0.0445071272363113,20,0.123274184486733,0.0275649456383184
21741,"Southern Bering Sea",1986,0.104524518835601,22,0.0812600504783318,0.0173247009730734
21741,"Southern Bering Sea",1994,0.0497911184474214,4,0.0789655720947537,0.0394827860473769
21741,"Southern Bering Sea",1997,-0.0532754336582156,13,0.120853674927921,0.033518778598529
21741,"Southern Bering Sea",2000,5.68924385727095e-05,14,0.0802330823961682,0.0214431932436618
21741,"Southern Bering Sea",2002,-0.0423336187628104,25,0.140440186230487,0.0280880372460974
21741,"Southern Bering Sea",2004,-0.18167307924435,2,0.0615263347097463,0.0435056884948148
21741,"Southern Bering Sea",2006,0.032535880624535,11,0.0908458854485349,0.0273910650709452
21741,"Southern Bering Sea",2010,-0.0627079771486651,10,0.135526425174078,0.042857218669047
21741,"Southern Bering Sea",2012,0.106234553231959,5,0.209747608766944,0.0938019822641836
21741,"Southern Bering Sea",2014,0.0545296326689802,23,0.0990618119890465,0.0206558156823281
21741,"Southern Bering Sea",2016,-0.17597879486181,4,0.121347550986187,0.0606737754930934
21741,"Southern Bering Sea",2018,-0.0475621068104855,9,0.132473668621462,0.0441578895404872
21741,"Western Aleutians",1994,0.0390035410433427,81,0.0920908562186248,0.010232317357625
21741,"Western Aleutians",1997,0.0481353165371313,6,0.120694894712987,0.0492734844342927
21741,"Western Aleutians",2000,-0.0263126943233064,47,0.115999211569678,0.0169202240093736
